id,material_id,type,file_url,uploaded_at
doc-photo-001,mat-001,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/plastik/grade_a/plastik_gradeA.jpeg,2026-08-12 18:01:59
doc-msds-001,mat-001,MSDS,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/documents/msds-MAT-001.pdf,2026-08-12 18:01:59
doc-photo-002,mat-002,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/kertas-kardus/grade_b/kertas_gradeB.jpeg,2026-08-12 18:01:59
doc-photo-003,mat-003,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/logam/grade_c/logam_gradeC.jpeg,2026-08-12 18:01:59
doc-photo-004,mat-004,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/kaca/grade_a/kaca_gradeA.jpeg,2026-08-12 18:01:59
doc-photo-005,mat-005,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/elektronik/grade_a/elektronik_gradeA.jpeg,2026-08-12 18:01:59
doc-msds-005,mat-005,MSDS,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/documents/msds-MAT-005.pdf,2026-08-12 18:01:59
doc-photo-006,mat-006,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/tekstil/grade_b/tekstil_gradeB.jpeg,2026-08-12 18:01:59
doc-photo-007,mat-007,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/limbah-organik/grade_c/LimbahOrganik_gradeC.jpeg,2026-08-12 18:01:59
doc-photo-008,mat-008,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/minyak-jelantah/grade_a/MinyakJelantah_gradeA.jpeg,2026-08-12 18:01:59
doc-photo-009,mat-009,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/kayu/grade_a/kayu_gradeA.jpeg,2026-08-12 18:01:59
doc-msds-009,mat-009,MSDS,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/documents/msds-MAT-009.pdf,2026-08-12 18:01:59
doc-photo-010,mat-010,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/makanan/grade_b/makanan_gradeB.jpg,2026-08-12 18:01:59
doc-photo-011,mat-011,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/plastik/grade_c/plastik_gradeC.jpeg,2026-08-12 18:01:59
doc-photo-012,mat-012,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/kertas-kardus/grade_a/kertas_gradeA.jpeg,2026-08-12 18:01:59
doc-photo-013,mat-013,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/logam/grade_a/logam_gradeA.jpg,2026-08-12 18:01:59
doc-msds-013,mat-013,MSDS,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/documents/msds-MAT-013.pdf,2026-08-12 18:01:59
doc-photo-014,mat-014,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/kaca/grade_b/kaca_gradeB.jpeg,2026-08-12 18:01:59
doc-photo-015,mat-015,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/elektronik/grade_c/elektronik_gradeC.jpeg,2026-08-12 18:01:59
doc-photo-016,mat-016,PHOTO,https://gfvfwuybqscjdngtllrw.supabase.co/storage/v1/object/public/materials/photos_csv/tekstil/grade_a/tekstil_gradeA.jpeg,2026-08-12 18:01:59
